sample,weight_rule,hhmm,n_days_with_weight,median,mean,share_at_1,share_at_0
daily_era,C2_log_fit_weight,10:30,489,0.8126918831458612,0.7922851935876926,0.0,0.0
daily_era,C2_log_fit_weight,11:00,489,0.8025437687005783,0.7942724779797068,0.0,0.0
daily_era,C2_log_fit_weight,11:30,489,0.8950876942775231,0.8672346219429152,0.0,0.0
daily_era,C2_log_fit_weight,12:00,489,0.9623752631350099,0.9583848487039024,0.147239263803681,0.0
daily_era,C2_log_fit_weight,12:30,489,0.8551479132000593,0.8435298945016259,0.0,0.0
daily_era,C2_log_fit_weight,13:00,489,0.988414525485754,0.9658517185584529,0.3456032719836401,0.0
daily_era,C2_log_fit_weight,13:30,489,0.8218437161207465,0.8119537026788265,0.0,0.0
daily_era,C2_log_fit_weight,14:00,489,0.05173276793103863,0.05135695291798027,0.0,0.0
daily_era,C2_log_fit_weight,14:30,489,0.3756324107792857,0.4107739556483986,0.0,0.0
daily_era,C2_log_fit_weight,15:00,489,0.5349101994916634,0.5490687436903776,0.0,0.0
daily_era,C2_log_fit_weight,15:30,489,0.2667903252721106,0.2910811449394485,0.0,0.0
whole,C3_switch,10:00,802,1.0,0.5249376558603491,0.5249376558603491,0.47506234413965087
whole,C3_switch,10:30,803,1.0,1.0,1.0,0.0
whole,C3_switch,11:00,803,1.0,0.7671232876712328,0.7671232876712328,0.2328767123287671
whole,C3_switch,11:30,803,1.0,0.9613947696139477,0.9613947696139477,0.038605230386052306
whole,C3_switch,12:00,803,1.0,1.0,1.0,0.0
whole,C3_switch,12:30,803,1.0,0.9676214196762142,0.9676214196762142,0.0323785803237858
whole,C3_switch,13:00,803,1.0,0.9912826899128269,0.9912826899128269,0.008717310087173101
whole,C3_switch,13:30,803,1.0,0.9763387297633873,0.9763387297633873,0.023661270236612703
whole,C3_switch,14:00,801,0.0,0.05493133583021224,0.05493133583021224,0.9450686641697877
whole,C3_switch,14:30,802,1.0,0.6920199501246883,0.6920199501246883,0.30798004987531175
whole,C3_switch,15:00,799,1.0,1.0,1.0,0.0
whole,C3_switch,15:30,798,0.0,0.08897243107769423,0.08897243107769423,0.9110275689223057
daily_era,C3_switch,10:00,489,0.0,0.22085889570552147,0.22085889570552147,0.7791411042944786
daily_era,C3_switch,10:30,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,11:00,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,11:30,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,12:00,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,12:30,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,13:00,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,13:30,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,14:00,489,0.0,0.0,0.0,1.0
daily_era,C3_switch,14:30,489,0.0,0.4948875255623722,0.4948875255623722,0.5051124744376279
daily_era,C3_switch,15:00,489,1.0,1.0,1.0,0.0
daily_era,C3_switch,15:30,489,0.0,0.14519427402862986,0.14519427402862986,0.8548057259713702
whole,C2L_log_combination_slope,10:00,802,0.6013199040115993,0.5400744475012895,0.0,0.0
whole,C2L_log_combination_slope,10:30,803,0.7311943675916416,0.7128878283094241,0.0,0.0
whole,C2L_log_combination_slope,11:00,803,0.7411158245738553,0.6608799973717819,0.0,0.0
whole,C2L_log_combination_slope,11:30,803,0.7839129784858365,0.7782902944959559,0.0,0.0
whole,C2L_log_combination_slope,12:00,803,0.9388562265262189,0.9032468388058164,0.0896637608966376,0.0
whole,C2L_log_combination_slope,12:30,803,0.8188115834040437,0.8051289261035306,0.0,0.0
whole,C2L_log_combination_slope,13:00,803,0.9293773921843421,0.8659094457245655,0.21046077210460773,0.0
whole,C2L_log_combination_slope,13:30,803,0.8147297559107305,0.7848477621312415,0.0,0.0
whole,C2L_log_combination_slope,14:00,801,0.0692020149351747,0.11002416726168038,0.0,0.0
whole,C2L_log_combination_slope,14:30,802,0.39482119626305806,0.4347409461539149,0.0,0.0
whole,C2L_log_combination_slope,15:00,799,0.5832872343372897,0.5663190617037224,0.0,0.0
whole,C2L_log_combination_slope,15:30,798,0.2590119230750719,0.2584952389833891,0.0,0.0
daily_era,C2L_log_combination_slope,10:00,489,0.6526274195883136,0.6376942026350005,0.0,0.0
daily_era,C2L_log_combination_slope,10:30,489,0.8126918831458612,0.7922851935876926,0.0,0.0
daily_era,C2L_log_combination_slope,11:00,489,0.8025437687005783,0.7942724779797068,0.0,0.0
daily_era,C2L_log_combination_slope,11:30,489,0.8950876942775231,0.8672346219429152,0.0,0.0
daily_era,C2L_log_combination_slope,12:00,489,0.9623752631350099,0.9594586839104222,0.147239263803681,0.0
daily_era,C2L_log_combination_slope,12:30,489,0.8551479132000593,0.8435298945016259,0.0,0.0
daily_era,C2L_log_combination_slope,13:00,489,0.988414525485754,0.9685192357375979,0.3456032719836401,0.0
daily_era,C2L_log_combination_slope,13:30,489,0.8218437161207465,0.8119537026788265,0.0,0.0
daily_era,C2L_log_combination_slope,14:00,489,0.05173276793103863,0.05135695291798027,0.0,0.0
daily_era,C2L_log_combination_slope,14:30,489,0.3756324107792857,0.4107739556483986,0.0,0.0
daily_era,C2L_log_combination_slope,15:00,489,0.5349101994916634,0.5490687436903776,0.0,0.0
daily_era,C2L_log_combination_slope,15:30,489,0.2667903252721106,0.2910811449394485,0.0,0.0
