sample,day_set,block,family,param,rule,causal,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.3655118081820092,1.2845594412802341,0.1253590323912737,1.0855562482649825,1.2816362443674412,1.4889638978581883,0.7435,0.25687156421789104
whole,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.1250139358454234,1.2968345006908808,0.1186733109267291,1.0988228910189837,1.293624990717852,1.4899991570701978,0.077,0.9230384807596201
whole,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.7352216339283917,1.657214641323665,0.09640064766143522,1.5010198972091036,1.6546878554697577,1.8225399381201677,0.794,0.2063968015992004
whole,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.5981439740191326,1.6987496535159676,0.08266165797891287,1.568060643010298,1.6943580957322255,1.8364157410089283,0.1015,0.8985507246376812
whole,oos,walk_forward_selected,margin_ridge,,"margin_ridge: cell chosen on an expanding window, 5-day embargo",True,0,2.2508623989667926,,,,,,,
whole,oos,walk_forward_selected,margin_comb,,"margin_comb: cell chosen on an expanding window, 5-day embargo",True,2000,2.2193559095557576,2.2538987116652573,0.041112117396718204,2.208480627512906,2.2423453860890135,2.342364299191782,0.1885,0.8115942028985508
whole,oos,walk_forward_selected,expected_gain,,"expected_gain: cell chosen on an expanding window, 5-day embargo",True,2000,2.239187749943023,2.2449930050992113,0.00696868131952594,2.236516872755872,2.243347120453668,2.258941738468993,0.1745,0.8255872063968016
whole,oos,walk_forward_selected,all_families,,"all_families: cell chosen on an expanding window, 5-day embargo",True,2000,2.210920540464746,2.250319376353073,0.041183778922890914,2.204621255303531,2.2391632456574126,2.339917337632579,0.127,0.8730634682658671
daily_era,full,fixed_rule,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,2000,-0.19035721284036225,-0.19419734722129312,0.27530155505701037,-0.6309438297082061,-0.20661588660454064,0.2722815608790375,0.529,0.47126436781609193
daily_era,full,fixed_rule,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,2000,0.3654166807491867,0.6596849600216477,0.22395617199334064,0.295690176652269,0.6577053797774071,1.0325305705782721,0.098,0.9020489755122438
daily_era,full,fixed_rule,margin_ridge,0.5,flat on the bar when rv_hat_t - slice_t > 0.50 slice_t (ridge),True,2000,1.2122278316394661,1.4356600871691243,0.16151871203701293,1.180324439348293,1.4306348037433256,1.699255081803417,0.0815,0.9185407296351824
daily_era,full,fixed_rule,margin_ridge,1.0,flat on the bar when rv_hat_t - slice_t > 1.00 slice_t (ridge),True,2000,2.1456792275693854,2.3024339363018873,0.08887429325478796,2.162702616854721,2.297958480812209,2.4551374271815973,0.0295,0.9705147426286856
daily_era,full,fixed_rule,margin_comb,0.0,flat on the bar when f_comb_t - slice_t > 0.00 slice_t (C2_log_fit_weight),True,2000,-0.19035721284036225,-0.18303161549774227,0.2845226837458014,-0.6485016216223568,-0.18606874773381057,0.2947080519946319,0.493,0.5072463768115942
daily_era,full,fixed_rule,margin_comb,0.25,flat on the bar when f_comb_t - slice_t > 0.25 slice_t (C2_log_fit_weight),True,2000,1.026978696458011,1.0654430865658147,0.192196731698234,0.7575790968875026,1.0617197404160161,1.3888585104328413,0.427,0.5732133933033483
daily_era,full,fixed_rule,margin_comb,0.5,flat on the bar when f_comb_t - slice_t > 0.50 slice_t (C2_log_fit_weight),True,2000,1.6866887081069444,1.8634214489405077,0.12481997730524592,1.670213204432035,1.857520878779301,2.0704178262003876,0.0695,0.9305347326336831
daily_era,full,fixed_rule,margin_comb,1.0,flat on the bar when f_comb_t - slice_t > 1.00 slice_t (C2_log_fit_weight),True,2000,2.2831918535885154,2.3905257123055836,0.04710284314970884,2.3204998830261885,2.387000742211307,2.4753531863925713,0.002,0.9980009995002499
daily_era,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.2036207053505292,1.1165958732875383,0.1892712856805872,0.8144923467515472,1.114889707517723,1.4408527051376958,0.686,0.31434282858570717
daily_era,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,0.9021156067147451,1.1718174971362811,0.17868461094277088,0.8774473801468607,1.169958299821411,1.4739314625942515,0.0655,0.9345327336331835
daily_era,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.7087226894278142,1.6007067520567708,0.1422213058889308,1.3813028747237623,1.5943881174871306,1.8501787096890558,0.7775,0.22288855572213892
daily_era,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.512048274065346,1.67195508558119,0.12564830257762244,1.470484979545732,1.6656987295114343,1.8786947205669464,0.0975,0.9025487256371814
daily_era,oos,fixed_rule,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,2000,-0.19035721284036225,-0.18120317828990737,0.2869502971838185,-0.6303949743736713,-0.19179130612623796,0.3128580494761981,0.5015,0.4987506246876562
daily_era,oos,fixed_rule,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,2000,0.3654166807491867,0.6620823052418017,0.22451512511653546,0.2919371636420046,0.6595590219406833,1.0358550448871284,0.1,0.9000499750124937
daily_era,oos,fixed_rule,margin_ridge,0.5,flat on the bar when rv_hat_t - slice_t > 0.50 slice_t (ridge),True,2000,1.2122278316394661,1.4335461424052875,0.16646550671531551,1.167270398883995,1.4320517228427696,1.716845628147781,0.087,0.9130434782608695
daily_era,oos,fixed_rule,margin_ridge,1.0,flat on the bar when rv_hat_t - slice_t > 1.00 slice_t (ridge),True,2000,2.1456792275693854,2.303024368914323,0.08603624394530578,2.1715810355320175,2.2973247072940914,2.451486923408819,0.02,0.9800099950024987
daily_era,oos,fixed_rule,margin_comb,0.0,flat on the bar when f_comb_t - slice_t > 0.00 slice_t (C2_log_fit_weight),True,2000,-0.19035721284036225,-0.1930895189849848,0.2707861429920069,-0.6292440962745718,-0.20073044657243286,0.2649399890336743,0.52,0.4802598700649675
daily_era,oos,fixed_rule,margin_comb,0.25,flat on the bar when f_comb_t - slice_t > 0.25 slice_t (C2_log_fit_weight),True,2000,1.026978696458011,1.071547978582461,0.19048663229143473,0.7654403453151227,1.070477380041885,1.3906103909291825,0.41,0.5902048975512244
daily_era,oos,fixed_rule,margin_comb,0.5,flat on the bar when f_comb_t - slice_t > 0.50 slice_t (C2_log_fit_weight),True,2000,1.6866887081069444,1.8583635858135341,0.12397990313344302,1.6611508514815834,1.8559492269656945,2.0754657191643684,0.0755,0.9245377311344328
daily_era,oos,fixed_rule,margin_comb,1.0,flat on the bar when f_comb_t - slice_t > 1.00 slice_t (C2_log_fit_weight),True,2000,2.2831918535885154,2.3928378170261237,0.047621826353838596,2.3203102539846876,2.388600513019237,2.479489094769701,0.003,0.9970014992503748
daily_era,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.2036207053505292,1.116408013229301,0.19226475938932,0.8089118587313511,1.1118157982009946,1.4312114306194244,0.6755,0.3248375812093953
daily_era,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,0.9021156067147451,1.1689775670392997,0.1777646501506404,0.8731235057003286,1.1695146878512641,1.465405150413181,0.067,0.9330334832583708
daily_era,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.7087226894278142,1.6035393850745308,0.14179050337382093,1.3739768536353743,1.5987326970590066,1.8400736262889026,0.7725,0.22788605697151423
daily_era,oos,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.512048274065346,1.678702603633663,0.12709389504804694,1.4834565424709294,1.6690499292707952,1.8932412233320626,0.0755,0.9245377311344328
daily_era,oos,walk_forward_selected,margin_ridge,,"margin_ridge: cell chosen on an expanding window, 5-day embargo",True,0,2.5131321677178393,,,,,,,
daily_era,oos,walk_forward_selected,margin_comb,,"margin_comb: cell chosen on an expanding window, 5-day embargo",True,0,2.5131321677178393,,,,,,,
daily_era,oos,walk_forward_selected,expected_gain,,"expected_gain: cell chosen on an expanding window, 5-day embargo",True,0,2.5131321677178393,,,,,,,
daily_era,oos,walk_forward_selected,all_families,,"all_families: cell chosen on an expanding window, 5-day embargo",True,0,2.5131321677178393,,,,,,,
