segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1130,reclasticnet,500,500,all bars,common,3121,2012-03-21,0.12853631864175274,0.13353556317950568,-0.004999244537752932,-3.7437551605879547,-0.008512640828929914,-0.0016526486911869452,-3.158331405731975,True
bar1130,reclasticnet,500,500,all bars,deck period,1116,2020-01-03,0.13359294506239397,0.14238073188755682,-0.008787786825162833,-6.1720337496950535,-0.01371321344221496,-0.0037137750296895844,-3.5396462243369924,True
bar1130,reclasticnet,500,500,11:30,common,3121,2012-03-21,0.12853631864175274,0.13353556317950568,-0.004999244537752932,-3.7437551605879547,-0.008512640828929914,-0.0016526486911869452,-3.158331405731975,True
bar1130,reclasticnet,500,500,11:30,deck period,1116,2020-01-03,0.13359294506239397,0.14238073188755682,-0.008787786825162833,-6.1720337496950535,-0.01371321344221496,-0.0037137750296895844,-3.5396462243369924,True
bar1130,reclasticnet,2000,500,all bars,common,1621,2018-01-17,0.1311624815577304,0.1361149268257952,-0.004952445268064813,-3.638429218276061,-0.01066567353102976,0.0005507035401938182,-1.934602443597031,False
bar1130,reclasticnet,2000,500,all bars,deck period,1116,2020-01-03,0.13435304258307915,0.14238073188755682,-0.008027689304477668,-5.638185165965731,-0.01486685725073545,-0.0012352948605376967,-2.716721157319605,True
bar1130,reclasticnet,2000,500,11:30,common,1621,2018-01-17,0.1311624815577304,0.1361149268257952,-0.004952445268064813,-3.638429218276061,-0.01066567353102976,0.0005507035401938182,-1.934602443597031,False
bar1130,reclasticnet,2000,500,11:30,deck period,1116,2020-01-03,0.13435304258307915,0.14238073188755682,-0.008027689304477668,-5.638185165965731,-0.01486685725073545,-0.0012352948605376967,-2.716721157319605,True
bar1130,reclasticnet,2000,2000,all bars,common,1621,2018-01-17,0.1311624815577304,0.14148651016960118,-0.010324028611870782,-7.2968289340766646,-0.015508705172412993,-0.005516532528665514,-4.479977402651348,True
bar1130,reclasticnet,2000,2000,all bars,deck period,1116,2020-01-03,0.13435304258307915,0.15101161997582951,-0.016658577392750368,-11.03132156016649,-0.02255431057471393,-0.011389370782376396,-6.583128108905884,True
bar1130,reclasticnet,2000,2000,11:30,common,1621,2018-01-17,0.1311624815577304,0.14148651016960118,-0.010324028611870782,-7.2968289340766646,-0.015508705172412993,-0.005516532528665514,-4.479977402651348,True
bar1130,reclasticnet,2000,2000,11:30,deck period,1116,2020-01-03,0.13435304258307915,0.15101161997582951,-0.016658577392750368,-11.03132156016649,-0.02255431057471393,-0.011389370782376396,-6.583128108905884,True
