,a0,blk2,blk2_inc,lgbm,xgb,lasso_t,lasso_f,enet
ewma125|p2|PER-ROW,0.10767155599855413,0.10828344755452933,0.10821354533031813,0.10225014535468996,0.10423536513697508,0.10402251701845958,0.10970782729434413,0.10469260152937543
ewma250|p0|FLAT,0.11288699104574244,0.11387835651021375,0.1139025490466865,0.10380944077888396,0.10431369299561376,0.1066601071341192,0.11529057844074134,0.10695760563362866
ewma250|p0|PER-ROW,0.11288699104574244,0.11387835651021375,0.1139025490466865,0.10380944077888396,0.10431369299561376,0.1066601071341192,0.11529057844074134,0.10695760563362866
ewma250|p1|FLAT,0.11047531116531673,0.1103067076233728,0.11038749619296004,0.10127196013899738,0.10263570685427285,0.10402480867842268,0.11168093115688346,0.1045210649297738
ewma250|p1|PER-ROW,0.11041087986111188,0.10899139537684747,0.10885526619324347,0.10120216376161895,0.10312043668978287,0.10374895664781918,0.11042630417675936,0.10441429472065361
ewma250|p2|FLAT,0.1100438446948678,0.10872472863763465,0.10877813266822538,0.10081011156272544,0.10263666473631398,0.10303148909031384,0.11002674707476798,0.10363977409319737
ewma250|p2|PER-ROW,0.11102451461745555,0.10810783143148406,0.1079615938973655,0.10324895890874453,0.1057839015682968,0.10439973949580623,0.10956069857968873,0.10520976688221939
ewma500|p0|FLAT,0.11374285076545106,0.11323448536687845,0.11318975981684172,0.10318025924212888,0.10379262251605562,0.1061070735185213,0.11471701836514643,0.10645225266111723
ewma500|p0|PER-ROW,0.11374285076545106,0.11323448536687845,0.11318975981684172,0.10318025924212888,0.10379262251605562,0.1061070735185213,0.11471701836514643,0.10645225266111723
ewma500|p1|FLAT,0.1121573266475174,0.10986779576470947,0.1098540583113758,0.10125089393520008,0.10295378925828394,0.10387357506340379,0.11126693467826927,0.10441909372706941
ewma500|p1|PER-ROW,0.11266395194977956,0.10868044753667498,0.10846019416689162,0.10152726825933828,0.10394147790989115,0.10386803611006136,0.11013838021203667,0.10460882468017908
ewma500|p2|FLAT,0.11225326224869893,0.1084102572158598,0.10835779552827816,0.10122468983289157,0.10345275912481741,0.10309460744427425,0.1097051644790166,0.10376150185981368
ewma500|p2|PER-ROW,0.11400446802909756,0.10790916146374258,0.10765502631727773,0.10407757254006007,0.10724259090573385,0.10470275092996062,0.10935565649371448,0.10563047676115468
