,naked|pts,naked|units,entry_mid_pts,bid_pts,hedge_hold_pts,cost_hold_pts,0.5% of spot|crossed|pts,0.5% of spot|crossed|units,0.5% of spot|mid|pts,0.5% of spot|mid|units,1.0% of spot|crossed|pts,1.0% of spot|crossed|units,1.0% of spot|mid|pts,1.0% of spot|mid|units,1.5% of spot|crossed|pts,1.5% of spot|crossed|units,1.5% of spot|mid|pts,1.5% of spot|mid|units,2.0% of spot|crossed|pts,2.0% of spot|crossed|units,2.0% of spot|mid|pts,2.0% of spot|mid|units,3.0% of spot|crossed|pts,3.0% of spot|crossed|units,3.0% of spot|mid|pts,3.0% of spot|mid|units
2023-09-25,2.3482965689604347,0.19900818461439698,11.799999952316284,11.699999809265137,-1.9117618340547022,0.16854142740294636,0.7982965570395057,0.06765225086995055,0.8732965376679962,0.0740081814573713,1.7982965793912475,0.1523980158184874,1.8732965767835443,0.1587539478265697,2.148296562254912,0.18205903143526808,2.1982965648626154,0.18629631980897596,2.1982965667252605,0.18629631996682722,2.2482965674703186,0.1905336081826838,2.2482965674703186,0.1905336081826838,2.2982965682153766,0.1947708963985404
2023-09-26,3.015281029872429,0.22335415036092066,13.5,13.299999713897705,1.1854961597247238,0.4081893834229992,1.415281006030571,0.10483563007633859,1.4902810239119644,0.1103911869564418,2.7152810179515,0.20113192725566667,2.7652810224218483,0.20483563129050728,2.8652810276372547,0.21224303908424108,2.9152810283823127,0.21594674284313428,2.9152810283823127,0.21594674284313428,2.965281029127371,0.21965044660202745,2.9152810283823127,0.21594674284313428,2.965281029127371,0.21965044660202745
2023-09-27,-2.0041114671150027,-0.14163332066260154,14.149999856948853,14.0,13.505654157884997,0.4262997003590401,0.6056541817268553,0.042802416102458656,0.6556541638454618,0.046335983779072616,-2.504111482016164,-0.176969011118854,-2.4541114775458155,-0.17343544186261162,-2.2541114745655833,-0.15930116589072776,-2.179111471585351,-0.1540008122696356,-2.154111469350177,-0.15223402764151442,-2.0791114682325897,-0.146933674152058,-2.1041114686051188,-0.14870045864854348,-2.0541114678600607,-0.1451668896555725
2023-09-28,2.074086125540621,0.14304042009911222,14.500000238418579,14.300000190734863,-12.225914065194242,0.5433528339985223,-0.37591386253845016,-0.025925093541891462,-0.30091384465705673,-0.02075267860063673,1.3240860957382985,0.09131628096322762,1.3740861039339372,0.09476455733381421,1.6740861121295758,0.11545421273125148,1.7240861184625693,0.11890248897337978,1.8240861218153306,0.12579904081534496,1.8990861229329177,0.13097145460047513,1.9240861233054467,0.13269559252885188,1.9740861240505048,0.13614386838560533
2023-09-29,6.759180060682539,0.3818745838146517,17.699999809265137,17.59999942779541,-10.840819367112871,0.3540503747542215,2.7591800606825387,0.15588588081443,2.83418004876161,0.16012316832218534,5.559180042801145,0.31407797190433695,5.634180060682539,0.31831526109583935,6.259180053231958,0.35362599551868723,6.309180059564952,0.35645085466398624,6.509180056957248,0.36775028966666945,6.559180055839661,0.37057514839103173,6.609180058447365,0.37340000732586237,6.659180059192423,0.3762248661554588
2023-10-02,-2.6561017519859234,-0.20914186944986313,12.700000047683716,12.599999904632568,-1.8659649378684917,0.17583159150471023,-4.306101728144066,-0.3390631269272658,-4.231101740064995,-0.333157616077071,-3.056101757946388,-0.24063793279306117,-3.0061017572013298,-0.23670092487516142,-2.8061017542210975,-0.2209528932035624,-2.7561017534760395,-0.21701588528566265,-2.7561017534760395,-0.21701588528566265,-2.7061017527309814,-0.2130788773677629,-2.7561017534760395,-0.21701588528566265,-2.7061017527309814,-0.2130788773677629
2023-10-03,6.70070182492228,0.46694786546717065,14.349999904632568,14.199999809265137,-6.949493296842856,0.4007074192146965,4.250701836843209,0.29621615784617306,4.325701795119958,0.30144263580960057,6.050701818961816,0.4216516975033906,6.1007018271574545,0.4251360186551627,6.45070182119699,0.44952626230433135,6.500701820079403,0.45301058280709816,6.550701822687106,0.4564949035694671,6.600701823432164,0.45997922420203496,6.600701823432164,0.45997922420203496,6.650701824177222,0.4634635448346028
2023-10-04,-0.0987682392334559,-0.0077162687188590835,12.799999952316284,12.699999809265137,5.951231951501407,0.47887524575432117,-1.9987682749962428,-0.1561537720657996,-1.9237682720160105,-0.15029439681114107,-0.698768240723572,-0.054591269009897386,-0.6487682343905785,-0.05068501850058035,-0.3487682429587462,-0.027247519082656966,-0.2987682440763333,-0.023341269155416542,-0.24876824146863008,-0.019435018937137814,-0.19876824072357202,-0.015528768864378236,-0.19876824072357202,-0.015528768864378236,-0.14876823997851396,-0.01162251879161866
2023-10-05,-0.5172806946831585,-0.04105402369828375,12.599999904632568,12.400000095367432,0.27266061619940984,0.40981830332449065,-1.9172807304459454,-0.15216513848869395,-1.8672807185250164,-0.1481968835442994,-0.8172806991535069,-0.06486354804280768,-0.767280700271094,-0.06089529413321601,-0.6672806969183327,-0.05295878587054572,-0.6172806961732746,-0.048990531813125064,-0.6672806969183327,-0.05295878587054572,-0.6172806961732746,-0.048990531813125064,-0.6172806961732746,-0.048990531813125064,-0.5672806954282166,-0.04502227775570441
2023-10-06,4.871872277901211,0.37620635212064046,12.950000047683716,12.800000190734863,-7.928127912833652,0.37641808050021847,3.071872265980282,0.23721021271576972,3.1468722838616756,0.24300171986675295,4.321872265980282,0.3337353088854473,4.371872274175921,0.33759631336510226,4.571872277156153,0.3530403289823844,4.621872276038566,0.3569013327428714,4.671872271195689,0.3607623362156911,4.721872273803392,0.36462334026384524,4.721872275666037,0.36462334040767885,4.771872276411095,0.3684843443119994
