sample,structure,w_frac,basis,n_untradeable,wing_cost_pct_prem_med,net_credit_units_med,cap_units_med,cap_dollars_med,frac_days_cap_bound,n,mean_pts,mean_units,sd_pts,sd_units,Sharpe_ann_pts,Sharpe_ann_units,t_hac_pts,t_hac_units,t_lag_pts,t_lag_units,MaxDD_pts,MaxDD_units,worst_pts,worst_units,worst_date,n_naked_matched,naked_mean_pts,naked_Sharpe_ann_pts,naked_mean_units,naked_Sharpe_ann_units
unseen,1.5% of spot,0.015,crossed,0,1.9047619686240242,0.9678217675852762,6.304545480757952,7725.000000372529,0.009685230024213076,413,0.8306931005442352,0.07139120382786021,8.815048737454863,0.5576591838925579,1.495946823653151,2.0322452485147133,2.2581225635004354,2.9967012201328442,11,11,-146.37959197733014,-5.77585460428795,-43.08886170123313,-3.2684890748102036,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,1.5% of spot,0.015,crossed,0,2.173913083383702,0.9617225011890699,4.987233909462687,5859.99996252358,0.019546520719311962,1279,0.6616915889087449,0.059122412466387095,7.963770068953459,0.5525611113343812,1.3189768466827052,1.6985256155848358,3.029112408319115,4.074686599388878,16,16,-164.10900613117425,-10.287291046301906,-45.99770188840833,-6.764367853615153,2021-11-22,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,1.5% of spot,0.015,mid,0,1.6613805244327602,0.9640219814345862,4.45588236372439,5180.000009853393,0.02424942263279446,866,0.6663998750032858,0.05961308306682526,7.493530217238294,0.5499817989832985,1.411720477694703,1.7206539522459166,2.4837309572791373,3.188451413912911,14,14,-160.20900563347544,-9.973411961317776,-45.94770188766327,-6.757014912406456,2021-11-22,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,1.5% of spot,0.015,mid,0,1.4388489571116703,0.9730769007538373,6.300000026144764,7720.000000484288,0.009685230024213076,413,0.891225788326358,0.07596670349075527,8.816568731719343,0.5576887943240262,1.6046799177796707,2.162378094057342,2.4327030602062756,3.1838366234274904,11,11,-142.57959246646075,-5.688215791210883,-42.96386170123313,-3.26328074147687,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,1.5% of spot,0.015,mid,0,1.578947411555993,0.9673202491841877,4.9826733526603855,5854.999962262809,0.019546520719311962,1279,0.7389980784453725,0.06489380647189413,7.942083581363733,0.5523168493748687,1.4770973749324328,1.8651562820940226,3.457400340624407,4.481943519332988,16,16,-160.20900563347544,-9.973411961317776,-45.94770188766327,-6.757014912406456,2021-11-22,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,2.0% of spot,0.02,crossed,0,1.5503876373063457,0.9662368192140378,6.157264124315365,7215.000000223517,0.013856812933025405,866,0.5929298417239217,0.05356499434719769,7.33719309206364,0.5545013092155884,1.2828433596552642,1.5334822659489757,2.1430133322805602,2.8270183641473703,14,14,-179.49530893706543,-11.020493114392137,-51.712982546952134,-6.764367853615153,2020-03-18,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,2.0% of spot,0.02,crossed,0,1.3698630430591467,0.9743589702605836,8.697580563067289,10699.999972060323,0.004842615012106538,413,0.9674239068915517,0.07630850531421962,8.426159903177425,0.5487253944691121,1.8225833115616743,2.207588677492933,2.7861406470615164,3.220389523327319,11,11,-111.17959333035557,-4.914999529789446,-41.33886170123313,-3.26328074147687,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,2.0% of spot,0.02,crossed,0,1.4869888644697449,0.9693251560270425,6.892156830598178,8074.999990686774,0.0109460516028147,1279,0.7138571669109671,0.06090906786508672,7.7043392970239815,0.5525305904852347,1.4708764469891182,1.749951031868688,3.3212154455936624,4.1656255957207735,16,16,-179.49530893706543,-11.020493114392137,-51.712982546952134,-6.764367853615153,2020-03-18,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,2.0% of spot,0.02,mid,0,0.9772090936962106,0.9718111238191669,6.152025208538779,7207.500000111759,0.013856812933025405,866,0.6689979712090377,0.059418506773391236,7.306468523054469,0.5542289322654971,1.4535084251776782,1.7018951885596483,2.470707837224843,3.1440248380622995,14,14,-168.27030926153822,-10.73013213938972,-49.11298311915672,-6.757014912406456,2020-03-18,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,2.0% of spot,0.02,mid,0,0.8888889021343656,0.9788732524799394,8.6935483049737,10694.999971799552,0.004842615012106538,413,1.0248089008717596,0.08077335963861043,8.427107202056744,0.5487719945011654,1.930477038960917,2.336557524483783,2.9571056845565376,3.403994865871714,11,11,-107.92959107655506,-4.838700337457123,-41.23886167739127,-3.2580724081435366,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,2.0% of spot,0.02,mid,0,0.9505703636407282,0.9741735454337295,6.884803889711738,8069.999990612268,0.0109460516028147,1279,0.7838923527185796,0.06631417075567077,7.68469139486985,0.5523483876273374,1.619311001602412,1.9058710931262994,3.714421672236892,4.5434698247630365,16,16,-168.27030926153822,-10.73013213938972,-49.11298311915672,-6.757014912406456,2020-03-18,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,3.0% of spot,0.03,crossed,0,1.1111111306573873,0.9720139726066348,9.639579196916875,11335.000000149012,0.005773672055427252,866,0.5950659333847417,0.05628368630901473,7.393960590400154,0.5569832559321762,1.277580361031394,1.6041340768249983,1.9796836168755612,2.9514413440373826,14,14,-217.6153269536124,-11.074552725677213,-64.113080393937,-6.757014912406456,2020-03-18,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,3.0% of spot,0.03,crossed,0,0.9900990340034469,0.9784946341913052,13.446308841275854,16720.000000670552,0.002421307506053269,413,0.9599424528385283,0.07616459089164686,8.740113961180393,0.5528434825522898,1.743525780847659,2.187012120804515,2.6216056258719895,3.0824025136663766,11,11,-98.21270045462765,-4.30445057563656,-40.23886167739127,-3.26328074147687,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,3.0% of spot,0.03,crossed,0,1.0752688249572464,0.9746193040803827,10.842696535213513,12679.999981075525,0.004691164972634871,1279,0.7128876710973405,0.06270339982944247,7.852307288732795,0.5555114205996656,1.4411994496093803,1.791836453636228,3.068718188127469,4.224812180677533,16,16,-217.6153269536124,-11.074552725677213,-64.113080393937,-6.757014912406456,2020-03-18,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,3.0% of spot,0.03,mid,0,0.5997015122586777,0.9773544557592191,9.635127664734043,11330.000000074506,0.005773672055427252,866,0.6597310597021956,0.06157782534585417,7.369354487356397,0.5567582725688339,1.4211429121656531,1.7557308458797016,2.229483758664428,3.2358399020489017,14,14,-209.64032820568247,-10.820040868085162,-62.613080870774155,-6.74966197119776,2020-03-18,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,3.0% of spot,0.03,mid,0,0.5319148961466434,0.9830508567810197,13.442953136495646,16712.50000037253,0.002421307506053269,413,1.0143008060364276,0.08048452229421962,8.738125846488861,0.5529306781753683,1.8426750091701167,2.31069143513287,2.772176546417109,3.254001677445396,11,11,-97.26270045537271,-4.237190549725545,-40.1888616803715,-3.2580724081435366,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,3.0% of spot,0.03,mid,0,0.5747126412172743,0.9792284725853232,10.834269568676818,12672.500000335276,0.004691164972634871,1279,0.7742246525372525,0.06768295891870399,7.835817209728485,0.5553792900332077,1.5684943903227737,1.9345943989216954,3.3761299288128797,4.566970329947572,16,16,-209.64032820568247,-10.820040868085162,-62.613080870774155,-6.74966197119776,2020-03-18,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
