segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1300,ridge,500,500,all bars,deck period,1116,2020-01-03,0.1983546596990961,0.16798266316754581,0.03037199653155026,18.08043518232429,0.007550405976268272,0.06424006812206137,2.0600341745006054,False
bar1300,ridge,500,500,13:00,common,3060,2012-05-31,0.17450999565959877,0.1554474247965144,0.019062570863084376,12.263034198242837,0.009194055386367165,0.03171674839996048,3.2582460128443174,False
bar1300,ridge,500,500,13:00,deck period,1116,2020-01-03,0.1983546596990961,0.16798266316754581,0.03037199653155026,18.08043518232429,0.007550405976268272,0.06424006812206137,2.0600341745006054,False
bar1300,ridge,2000,500,all bars,common,1560,2018-04-13,0.18629189908825539,0.17469402359252115,0.011597875495734234,6.638965236032695,0.002496515874879709,0.022676290050932853,2.266242048982316,False
bar1300,ridge,2000,500,all bars,deck period,1116,2020-01-03,0.17720368243867154,0.16798266316754581,0.00922101927112574,5.489268414520075,-0.0026318534524220898,0.024204127474395033,1.3859348602029153,False
bar1300,ridge,2000,500,13:00,common,1560,2018-04-13,0.18629189908825539,0.17469402359252115,0.011597875495734234,6.638965236032695,0.002496515874879709,0.022676290050932853,2.266242048982316,False
bar1300,ridge,2000,500,13:00,deck period,1116,2020-01-03,0.17720368243867154,0.16798266316754581,0.00922101927112574,5.489268414520075,-0.0026318534524220898,0.024204127474395033,1.3859348602029153,False
bar1300,ridge,2000,2000,all bars,common,1560,2018-04-13,0.18629189908825539,0.17519340209290288,0.011098496995352486,6.334997130466757,0.0031366191522602276,0.020643257142646657,2.5917799151776024,False
bar1300,ridge,2000,2000,all bars,deck period,1116,2020-01-03,0.17720368243867154,0.16785641145978095,0.009347270978890635,5.568611230039478,-0.0010974943794974739,0.021214523510083294,1.7003611975596624,False
bar1300,ridge,2000,2000,13:00,common,1560,2018-04-13,0.18629189908825539,0.17519340209290288,0.011098496995352486,6.334997130466757,0.0031366191522602276,0.020643257142646657,2.5917799151776024,False
bar1300,ridge,2000,2000,13:00,deck period,1116,2020-01-03,0.17720368243867154,0.16785641145978095,0.009347270978890635,5.568611230039478,-0.0010974943794974739,0.021214523510083294,1.7003611975596624,False
bar1330,reclasso,500,500,all bars,common,2999,2012-05-31,0.16377108469259316,0.16380956170063063,-3.847700803748862e-05,-0.02348886575241993,-0.004650076413478035,0.004759012217894371,-0.015759004287067186,False
bar1330,reclasso,500,500,all bars,deck period,1088,2020-01-03,0.1717049937259609,0.16696839813860898,0.004736595587351918,2.8368216022650157,-0.003426355090889819,0.012792887096491248,1.1001998706057055,False
bar1330,reclasso,500,500,13:30,common,2999,2012-05-31,0.16377108469259316,0.16380956170063063,-3.847700803748862e-05,-0.02348886575241993,-0.004650076413478035,0.004759012217894371,-0.015759004287067186,False
bar1330,reclasso,500,500,13:30,deck period,1088,2020-01-03,0.1717049937259609,0.16696839813860898,0.004736595587351918,2.8368216022650157,-0.003426355090889819,0.012792887096491248,1.1001998706057055,False
bar1330,reclasso,2000,500,all bars,common,1499,2018-05-17,0.1722970320219025,0.1752214612217463,-0.0029244291998438256,-1.6689903048707606,-0.009258590375244478,0.003063406447815659,-0.9285812423272327,False
bar1330,reclasso,2000,500,all bars,deck period,1088,2020-01-03,0.16736160496485086,0.16696839813860898,0.0003932068262418712,0.23549775324277245,-0.007605877245595349,0.007716741802563039,0.10514888237871871,False
bar1330,reclasso,2000,500,13:30,common,1499,2018-05-17,0.1722970320219025,0.1752214612217463,-0.0029244291998438256,-1.6689903048707606,-0.009258590375244478,0.003063406447815659,-0.9285812423272327,False
bar1330,reclasso,2000,500,13:30,deck period,1088,2020-01-03,0.16736160496485086,0.16696839813860898,0.0003932068262418712,0.23549775324277245,-0.007605877245595349,0.007716741802563039,0.10514888237871871,False
bar1330,reclasso,2000,2000,all bars,common,1499,2018-05-17,0.1722970320219025,0.17337948891405808,-0.001082456892155575,-0.6243281133976203,-0.006669322191764601,0.00424426261265772,-0.39437291010904546,False
bar1330,reclasso,2000,2000,all bars,deck period,1088,2020-01-03,0.16736160496485086,0.16728792590210653,7.367906274431639e-05,0.0440432639397011,-0.00735281127456241,0.006730075381154223,0.021886012177994164,False
bar1330,reclasso,2000,2000,13:30,common,1499,2018-05-17,0.1722970320219025,0.17337948891405808,-0.001082456892155575,-0.6243281133976203,-0.006669322191764601,0.00424426261265772,-0.39437291010904546,False
bar1330,reclasso,2000,2000,13:30,deck period,1088,2020-01-03,0.16736160496485086,0.16728792590210653,7.367906274431639e-05,0.0440432639397011,-0.00735281127456241,0.006730075381154223,0.021886012177994164,False
bar1330,reclasticnet,500,500,all bars,common,2999,2012-05-31,0.1686799817986955,0.16358316994002886,0.005096811858666652,3.1157311968799672,-0.0012164696219174093,0.011577061826193936,1.575728010316703,False
bar1330,reclasticnet,500,500,all bars,deck period,1088,2020-01-03,0.17718909458314863,0.16671856635340981,0.0104705282297388,6.280361245155736,0.00032700919243409775,0.021080978369650658,1.9237011133640876,False
bar1330,reclasticnet,500,500,13:30,common,2999,2012-05-31,0.1686799817986955,0.16358316994002886,0.005096811858666652,3.1157311968799672,-0.0012164696219174093,0.011577061826193936,1.575728010316703,False
bar1330,reclasticnet,500,500,13:30,deck period,1088,2020-01-03,0.17718909458314863,0.16671856635340981,0.0104705282297388,6.280361245155736,0.00032700919243409775,0.021080978369650658,1.9237011133640876,False
bar1330,reclasticnet,2000,500,all bars,common,1499,2018-05-17,0.17153017626834735,0.17456560391378795,-0.003035427645440635,-1.7388463576935407,-0.008995221860360982,0.0025209408581880885,-1.1214247063733331,False
bar1330,reclasticnet,2000,500,all bars,deck period,1088,2020-01-03,0.16684943420337284,0.16671856635340981,0.0001308678499630162,0.07849626638799347,-0.006588893087348767,0.006920217907268741,0.04027751850521245,False
bar1330,reclasticnet,2000,500,13:30,common,1499,2018-05-17,0.17153017626834735,0.17456560391378795,-0.003035427645440635,-1.7388463576935407,-0.008995221860360982,0.0025209408581880885,-1.1214247063733331,False
bar1330,reclasticnet,2000,500,13:30,deck period,1088,2020-01-03,0.16684943420337284,0.16671856635340981,0.0001308678499630162,0.07849626638799347,-0.006588893087348767,0.006920217907268741,0.04027751850521245,False
bar1330,reclasticnet,2000,2000,all bars,common,1499,2018-05-17,0.17153017626834735,0.17307036043946972,-0.0015401841711223535,-0.8899179311878901,-0.00725847239998869,0.003656335974443828,-0.6174196184849903,False
bar1330,reclasticnet,2000,2000,all bars,deck period,1088,2020-01-03,0.16684943420337284,0.16653302486409455,0.00031640933927829613,0.18999795358098714,-0.006537704855138813,0.006521935909783914,0.10027817650188806,False
bar1330,reclasticnet,2000,2000,13:30,common,1499,2018-05-17,0.17153017626834735,0.17307036043946972,-0.0015401841711223535,-0.8899179311878901,-0.00725847239998869,0.003656335974443828,-0.6174196184849903,False
bar1330,reclasticnet,2000,2000,13:30,deck period,1088,2020-01-03,0.16684943420337284,0.16653302486409455,0.00031640933927829613,0.18999795358098714,-0.006537704855138813,0.006521935909783914,0.10027817650188806,False
bar1330,ridge,500,500,all bars,common,2999,2012-05-31,0.17019273301691135,0.16286038363855415,0.007332349378357212,4.502230201440724,0.0016615089410532953,0.013206206107935185,2.516254170483805,False
bar1330,ridge,500,500,all bars,deck period,1088,2020-01-03,0.1815523650509365,0.16626403669366488,0.015288328357271626,9.195210618782092,0.005857779985700777,0.025561294119079758,2.9043535005007284,False
bar1330,ridge,500,500,13:30,common,2999,2012-05-31,0.17019273301691135,0.16286038363855415,0.007332349378357212,4.502230201440724,0.0016615089410532953,0.013206206107935185,2.516254170483805,False
bar1330,ridge,500,500,13:30,deck period,1088,2020-01-03,0.1815523650509365,0.16626403669366488,0.015288328357271626,9.195210618782092,0.005857779985700777,0.025561294119079758,2.9043535005007284,False
bar1330,ridge,2000,500,all bars,common,1499,2018-05-17,0.17256958450328297,0.17420752413974266,-0.0016379396364597106,-0.9402232449763868,-0.008931475090011893,0.005306470455954114,-0.48722121227775844,False
bar1330,ridge,2000,500,all bars,deck period,1088,2020-01-03,0.16905697714731951,0.16626403669366488,0.002792940453654603,1.6798223531649772,-0.0052311044727216365,0.01156508429032611,0.7163450357585,False
bar1330,ridge,2000,500,13:30,common,1499,2018-05-17,0.17256958450328297,0.17420752413974266,-0.0016379396364597106,-0.9402232449763868,-0.008931475090011893,0.005306470455954114,-0.48722121227775844,False
bar1330,ridge,2000,500,13:30,deck period,1088,2020-01-03,0.16905697714731951,0.16626403669366488,0.002792940453654603,1.6798223531649772,-0.0052311044727216365,0.01156508429032611,0.7163450357585,False
bar1330,ridge,2000,2000,all bars,common,1499,2018-05-17,0.17256958450328297,0.1719263877138912,0.0006431967893917164,0.37411173348333415,-0.005640360549277772,0.006600691153984575,0.22307932740448916,False
bar1330,ridge,2000,2000,all bars,deck period,1088,2020-01-03,0.16905697714731951,0.16617265268449813,0.0028843244628213895,1.7357395553513129,-0.004755635802445549,0.01049316880561264,0.8439165640376586,False
