feature,modulator_ic
adj_stocktwits_attention_ma_25,0.014661897566659414
adj_sellturnover_vwstock_ma_25,0.013889752659891324
adj_sumabsret_ewstock_ma_625,0.013537324937368993
adj_sumabsret_vwstock_ma_1,0.013393552703944066
adj_sumpret2_ewstock_ma_25,0.01313615235641092
adj_sumabsret_vwstock_ma_25,0.01304913021729277
adj_buyturnover_ewstock_ma_1,0.012862631735823896
har_ma_1,0.012053597332391409
adj_turnover_ewstock_ma_25,0.011575666612603718
adj_sumautocov_ma_1,0.011433366239317802
adj_stocktwits_sentcount_ma_625,0.011386316568914829
adj_sumret4_ewstock_ma_25,0.010289232233103912
adj_sumret2_vwstock_ma_25,0.010068158494840617
adj_buyturnover_vwstock_ma_1,0.010044443363045314
har_ma_25,0.009708082122717336
har_ma_5,0.009430900776536418
adj_sumret3_ma_1,0.009152965318011148
adj_sumret4_ewstock_ma_1,0.009035474474772187
adj_sumabsret_ma_1,0.008999120209779866
adj_sumret2_vwstock_ma_1,0.008984737059551976
adj_turnover_vwstock_ma_1,0.00888084815404166
adj_sumret4_vwstock_ma_1,0.008830204112652059
adj_sumret3_ewstock_ma_25,0.007732549449028003
adj_numobs_ma_25,0.00772471105351856
adj_sellturnover_ewstock_ma_25,0.0076747769873932855
adj_sumpret2_ewstock_ma_1,0.007497612089384587
adj_sumret4_vwstock_ma_25,0.006971514025775952
adj_sumabsret_ewstock_ma_1,0.006357705311969584
adj_turnover_ewstock_ma_1,0.005477751106785572
adj_sumret3_ma_25,0.005326413472206047
adj_sellturnover_vwstock_ma_1,0.005252804072684029
adj_sumabsret_ewstock_ma_25,0.004944751915902137
adj_stocktwits_attention_ma_625,0.004524941212650807
adj_sumret3_ewstock_ma_1,0.004452852912615481
adj_sumret3_vwstock_ma_1,0.0035257870526642053
adj_sumret4_ewstock_ma_625,0.0032084591532570905
adj_sumabsret_vwstock_ma_625,0.0028549016819591727
hour,0.001584743941036275
adj_sellturnover_ewstock_ma_1,0.0013824506934055397
adj_sumpret2_vwstock_ma_25,0.0013780274806237355
is_close,0.0011802620018610576
adj_sumret_ma_1,0.001140074767110651
adj_numobs_ma_1,0.001097355809267886
is_open,0.0009500621105731037
is_overnight,0.0007789810704434655
adj_sumabsret_ma_25,0.000651001726786103
adj_sumret4_vwstock_ma_625,0.0006102579785978036
adj_sumret3_vwstock_ma_25,0.000571845020160553
adj_sumpret2_vwstock_ma_1,0.00045081511800027304
har_ma_3125,3.053493386445306e-05
