eig_index,eigenvalue,leading_eigvec,feature
36,-3.884265521951926e-20,0.0,adj_sumret3_ewstock_ma_1
37,-2.3606340672830455e-20,0.0,adj_sumret3_ewstock_ma_25
38,-2.0460392028785498e-20,-0.026378226931035545,adj_sumret3_ewstock_ma_625
39,-5.362273470305517e-21,0.0,adj_sumret4_ewstock_ma_1
40,-2.6817289326387403e-21,0.0,adj_sumret4_ewstock_ma_25
41,-5.924885016533504e-35,0.2623409670875585,adj_sumret4_ewstock_ma_625
42,-4.7016751362334305e-35,0.0,adj_sumabsret_ewstock_ma_1
43,-3.4340821970721366e-35,0.0,adj_sumabsret_ewstock_ma_25
44,-1.8370554824267084e-35,0.0,adj_sumabsret_ewstock_ma_625
45,-1.4452045764167054e-35,0.0,adj_sumbipow_ewstock_ma_1
46,-9.966945574132158e-36,0.0,adj_sumbipow_ewstock_ma_25
47,-7.391944630921725e-36,0.3711957119197697,adj_sumbipow_ewstock_ma_625
48,-5.1772376537052465e-36,0.0,adj_sumpret2_ewstock_ma_1
49,-1.3346546827474538e-36,0.0,adj_sumpret2_ewstock_ma_25
50,-3.9885779067443035e-52,0.1473898272707108,adj_sumpret2_ewstock_ma_625
51,-1.0488012879448769e-53,0.0,adj_turnover_ewstock_ma_1
52,0.0,0.0,adj_turnover_ewstock_ma_25
53,0.0,0.0,adj_turnover_ewstock_ma_625
54,0.0,0.0,adj_buyturnover_ewstock_ma_1
55,0.0,0.0,adj_buyturnover_ewstock_ma_25
56,0.0,0.0,adj_buyturnover_ewstock_ma_625
57,0.0,0.0,adj_sellturnover_ewstock_ma_1
58,0.0,0.0,adj_sellturnover_ewstock_ma_25
59,0.0,0.37858668486605457,adj_sellturnover_ewstock_ma_625
60,0.0,0.0,adj_effspread_ewstock_ma_1
61,0.0,0.0,adj_effspread_ewstock_ma_25
62,0.0,0.0,adj_effspread_ewstock_ma_625
63,0.0,0.0,adj_spread_ewstock_ma_1
64,0.0,0.0,adj_spread_ewstock_ma_25
65,0.0,-0.0055947588937502075,adj_spread_ewstock_ma_625
66,0.0,0.0,adj_sumret2_vwstock_ma_1
67,0.0,0.0,adj_sumret2_vwstock_ma_25
68,0.0,0.012230773151978142,adj_sumret2_vwstock_ma_625
69,0.0,0.0,adj_sumret3_vwstock_ma_1
70,0.0,0.0,adj_sumret3_vwstock_ma_25
71,0.0,0.0950045160503173,adj_sumret3_vwstock_ma_625
72,0.0,0.0,adj_sumret4_vwstock_ma_1
73,0.0,0.0,adj_sumret4_vwstock_ma_25
74,0.0,0.410821760992673,adj_sumret4_vwstock_ma_625
75,0.0,0.0,adj_sumabsret_vwstock_ma_1
76,0.0,0.0,adj_sumabsret_vwstock_ma_25
77,0.0,0.012057376716494173,adj_sumabsret_vwstock_ma_625
78,0.0,0.0,adj_sumbipow_vwstock_ma_1
79,0.0,0.0,adj_sumbipow_vwstock_ma_25
80,0.0,0.0037403120887549387,adj_sumbipow_vwstock_ma_625
81,0.0,0.0,adj_sumpret2_vwstock_ma_1
82,0.0,0.0,adj_sumpret2_vwstock_ma_25
83,0.0,0.34744472706283386,adj_sumpret2_vwstock_ma_625
84,0.0,0.0,adj_turnover_vwstock_ma_1
85,0.0,0.0,adj_turnover_vwstock_ma_25
86,1.1984548095860649e-51,-2.1607176638048105e-16,adj_turnover_vwstock_ma_625
87,8.0169866291665e-36,0.0,adj_buyturnover_vwstock_ma_1
88,9.4242233460282e-36,0.0,adj_buyturnover_vwstock_ma_25
89,1.8825370803911932e-35,0.0,adj_buyturnover_vwstock_ma_625
90,2.8405448948191435e-35,0.0,adj_sellturnover_vwstock_ma_1
91,4.790763342598589e-35,0.0,adj_sellturnover_vwstock_ma_25
92,5.46687831420114e-35,0.0,adj_sellturnover_vwstock_ma_625
93,1.6525605620542417e-21,0.0,adj_effspread_vwstock_ma_1
94,2.077899826799947e-21,0.0,adj_effspread_vwstock_ma_25
95,4.9729255396269244e-21,-0.1463260519743489,adj_effspread_vwstock_ma_625
96,1.1998546573684118e-20,0.0,adj_spread_vwstock_ma_1
97,2.226574305653215e-20,0.0,adj_spread_vwstock_ma_25
98,2.2394954824232868e-20,0.0014411048675431097,adj_spread_vwstock_ma_625
99,3.2710382051134924e-20,0.0,adj_stocktwits_attention_ma_1
100,4.285700664732738e-20,0.0,adj_stocktwits_attention_ma_25
101,5.278491861644168e-20,0.0,adj_stocktwits_attention_ma_625
102,5.459365753245509e-20,0.0,adj_stocktwits_sentiment_ma_1
103,7.341560220632689e-20,0.0,adj_stocktwits_sentiment_ma_25
104,9.398983905989549e-20,0.0,adj_stocktwits_sentiment_ma_625
105,1.1265049561989803e-19,0.0,adj_stocktwits_sentcount_ma_1
106,1.3458303947237054e-19,0.0,adj_stocktwits_sentcount_ma_25
107,1.6329444156256173e-19,0.0,adj_stocktwits_sentcount_ma_625
108,1.707636923062968e-19,-0.0009193468376448548,adj_vix_ma_1
109,2.1411403668633102e-19,0.0,adj_vix_ma_25
110,2.36855413474491e-19,-0.0008972683912801331,adj_vix_ma_625
111,2.4660381773275827e-19,0.0,adj_vvix_ma_1
112,3.070180222094421e-19,0.0,adj_vvix_ma_25
113,3.9311150742486936e-19,0.0,adj_vvix_ma_625
114,4.232996301253793e-19,0.0,adj_vix3m_ma_1
115,5.723282693547211e-19,0.0,adj_vix3m_ma_25
116,6.964502697539101e-05,0.0,adj_vix3m_ma_625
117,8.708083866016483e-05,0.0,adj_voldemand_spx_open_and_close_ma_1
118,0.00011160176554888652,0.0,adj_voldemand_spx_open_and_close_ma_25
119,0.000176136157384947,0.0,adj_voldemand_spx_open_and_close_ma_625
120,0.0001798987876812597,0.0,adj_voldemand_spx_open_only_ma_1
121,0.00024104435507653202,0.0,adj_voldemand_spx_open_only_ma_25
122,0.00031046429016018314,0.0,adj_voldemand_spx_open_only_ma_625
123,0.0005451621525328645,0.0,adj_voldemand_all_open_and_close_ma_1
124,0.000672800314467715,0.0,adj_voldemand_all_open_and_close_ma_25
125,0.0006832012979169301,0.0,adj_voldemand_all_open_and_close_ma_625
126,0.0006978742660662744,0.0,adj_voldemand_all_open_only_ma_1
127,0.0010018156558216393,0.0,adj_voldemand_all_open_only_ma_25
128,0.0010684593678895677,0.0,adj_voldemand_all_open_only_ma_625
129,0.001413296442537315,0.0,is_open
130,0.0016031476535901946,0.0,is_close
131,0.0017047880778480776,0.0,is_overnight
132,0.0019361825192741459,0.0,hour
