feature,bucket,window,ic_pooled
adj_sumret3_ewstock_ma_3125,market_ew,3125,0.0006310922148178458
adj_sumret4_ewstock_ma_1,market_ew,1,0.027430020414535038
adj_sumret4_ewstock_ma_5,market_ew,5,0.01894179791988244
adj_sumret4_ewstock_ma_25,market_ew,25,0.01706038662238211
adj_sumret4_ewstock_ma_125,market_ew,125,0.01272337665395422
adj_sumret4_ewstock_ma_625,market_ew,625,0.007938467406915015
adj_sumret4_ewstock_ma_3125,market_ew,3125,0.00989159264210272
adj_sumabsret_ewstock_ma_1,market_ew,1,0.04654013817984991
adj_sumabsret_ewstock_ma_5,market_ew,5,0.029914198528983558
adj_sumabsret_ewstock_ma_25,market_ew,25,0.02249225208187452
adj_sumabsret_ewstock_ma_125,market_ew,125,0.015591053035695336
adj_sumabsret_ewstock_ma_625,market_ew,625,0.007188242589165485
adj_sumabsret_ewstock_ma_3125,market_ew,3125,-0.004076443954668728
adj_sumbipow_ewstock_ma_1,market_ew,1,0.035578497255008654
adj_sumbipow_ewstock_ma_5,market_ew,5,0.02184193955866157
adj_sumbipow_ewstock_ma_25,market_ew,25,0.0160020256695827
adj_sumbipow_ewstock_ma_125,market_ew,125,0.015515256197370873
adj_sumbipow_ewstock_ma_625,market_ew,625,0.010723899719100958
adj_sumbipow_ewstock_ma_3125,market_ew,3125,0.0029326133385857212
adj_sumpret2_ewstock_ma_1,market_ew,1,0.01571499543992404
adj_sumpret2_ewstock_ma_5,market_ew,5,0.01274964225131463
adj_sumpret2_ewstock_ma_25,market_ew,25,0.012915239334788975
adj_sumpret2_ewstock_ma_125,market_ew,125,0.013636077435277633
adj_sumpret2_ewstock_ma_625,market_ew,625,0.006421041243958085
adj_sumpret2_ewstock_ma_3125,market_ew,3125,0.0022701146932175217
adj_turnover_ewstock_ma_1,liquidity,1,0.0180996769388587
adj_turnover_ewstock_ma_5,liquidity,5,0.008688619682916052
adj_turnover_ewstock_ma_25,liquidity,25,0.0036964819615320356
adj_turnover_ewstock_ma_125,liquidity,125,0.00044736505100048766
adj_turnover_ewstock_ma_625,liquidity,625,0.0040196739354654044
adj_turnover_ewstock_ma_3125,liquidity,3125,0.0009997124255989847
adj_buyturnover_ewstock_ma_1,liquidity,1,0.01600685089141148
adj_buyturnover_ewstock_ma_5,liquidity,5,0.006043739742470893
adj_buyturnover_ewstock_ma_25,liquidity,25,0.00010708593398666766
adj_buyturnover_ewstock_ma_125,liquidity,125,-0.0013603865887783968
adj_buyturnover_ewstock_ma_625,liquidity,625,0.003229260915569465
adj_buyturnover_ewstock_ma_3125,liquidity,3125,0.0012563394062839474
adj_sellturnover_ewstock_ma_1,liquidity,1,0.021959062955054287
adj_sellturnover_ewstock_ma_5,liquidity,5,0.0112303548126051
adj_sellturnover_ewstock_ma_25,liquidity,25,0.006409596691466777
adj_sellturnover_ewstock_ma_125,liquidity,125,0.002035159771612347
adj_sellturnover_ewstock_ma_625,liquidity,625,0.004012510805502207
adj_sellturnover_ewstock_ma_3125,liquidity,3125,-3.836960287202715e-05
adj_effspread_ewstock_ma_1,liquidity,1,0.010520932949193122
adj_effspread_ewstock_ma_5,liquidity,5,0.019850795700809346
adj_effspread_ewstock_ma_25,liquidity,25,0.03231439038732475
adj_effspread_ewstock_ma_125,liquidity,125,0.024220961556181468
adj_effspread_ewstock_ma_625,liquidity,625,0.009552729406777026
adj_effspread_ewstock_ma_3125,liquidity,3125,0.004812346749837233
adj_spread_ewstock_ma_1,liquidity,1,0.00409539996458239
adj_spread_ewstock_ma_5,liquidity,5,0.011761438927356418
adj_spread_ewstock_ma_25,liquidity,25,0.018869579300526233
adj_spread_ewstock_ma_125,liquidity,125,0.011337253787225008
adj_spread_ewstock_ma_625,liquidity,625,0.0017996802014098735
adj_spread_ewstock_ma_3125,liquidity,3125,0.0008764023703781186
adj_sumret2_vwstock_ma_1,market_vw,1,0.050040356416980715
adj_sumret2_vwstock_ma_5,market_vw,5,0.035395677734719744
adj_sumret2_vwstock_ma_25,market_vw,25,0.02538189589490118
adj_sumret2_vwstock_ma_125,market_vw,125,0.020151600014983024
adj_sumret2_vwstock_ma_625,market_vw,625,0.011494472574812191
adj_sumret2_vwstock_ma_3125,market_vw,3125,0.001576324458364374
adj_sumret3_vwstock_ma_1,market_vw,1,-0.03755077024746671
adj_sumret3_vwstock_ma_5,market_vw,5,-0.024781368623011453
adj_sumret3_vwstock_ma_25,market_vw,25,-0.011366508809725957
adj_sumret3_vwstock_ma_125,market_vw,125,-0.0034709022949375463
adj_sumret3_vwstock_ma_625,market_vw,625,0.0002446065137202784
adj_sumret3_vwstock_ma_3125,market_vw,3125,0.0015830602321614334
adj_sumret4_vwstock_ma_1,market_vw,1,0.032546022343464376
adj_sumret4_vwstock_ma_5,market_vw,5,0.023226837728014194
adj_sumret4_vwstock_ma_25,market_vw,25,0.01822114079306393
adj_sumret4_vwstock_ma_125,market_vw,125,0.0144954360890714
adj_sumret4_vwstock_ma_625,market_vw,625,0.010085521386300386
adj_sumret4_vwstock_ma_3125,market_vw,3125,0.009273230415354348
adj_sumabsret_vwstock_ma_1,market_vw,1,0.062017796470967106
adj_sumabsret_vwstock_ma_5,market_vw,5,0.04124326309087863
adj_sumabsret_vwstock_ma_25,market_vw,25,0.031265167196191934
adj_sumabsret_vwstock_ma_125,market_vw,125,0.024766491107629754
adj_sumabsret_vwstock_ma_625,market_vw,625,0.013464506039221188
adj_sumabsret_vwstock_ma_3125,market_vw,3125,-0.0010665097126527098
adj_sumbipow_vwstock_ma_1,market_vw,1,0.048102057037463515
adj_sumbipow_vwstock_ma_5,market_vw,5,0.03206029508047779
adj_sumbipow_vwstock_ma_25,market_vw,25,0.0239681092543491
adj_sumbipow_vwstock_ma_125,market_vw,125,0.021416170473061363
adj_sumbipow_vwstock_ma_625,market_vw,625,0.012428723206624718
adj_sumbipow_vwstock_ma_3125,market_vw,3125,0.001426611833031433
adj_sumpret2_vwstock_ma_1,market_vw,1,0.02339233143182273
adj_sumpret2_vwstock_ma_5,market_vw,5,0.019530465174145428
adj_sumpret2_vwstock_ma_25,market_vw,25,0.019446888667271275
adj_sumpret2_vwstock_ma_125,market_vw,125,0.019919165352578462
adj_sumpret2_vwstock_ma_625,market_vw,625,0.014300947370601773
adj_sumpret2_vwstock_ma_3125,market_vw,3125,0.0056216899258858906
adj_turnover_vwstock_ma_1,liquidity,1,0.028573672511490896
adj_turnover_vwstock_ma_5,liquidity,5,0.016692449976325744
adj_turnover_vwstock_ma_25,liquidity,25,0.013119954257600064
adj_turnover_vwstock_ma_125,liquidity,125,0.009932751173663056
adj_turnover_vwstock_ma_625,liquidity,625,0.008892246378241906
adj_turnover_vwstock_ma_3125,liquidity,3125,0.008489677132515583
adj_buyturnover_vwstock_ma_1,liquidity,1,0.02286174551857429
adj_buyturnover_vwstock_ma_5,liquidity,5,0.01105852739744165
adj_buyturnover_vwstock_ma_25,liquidity,25,0.007578156583060284
adj_buyturnover_vwstock_ma_125,liquidity,125,0.006449031368712347
adj_buyturnover_vwstock_ma_625,liquidity,625,0.007621758619488388
adj_buyturnover_vwstock_ma_3125,liquidity,3125,0.0072524305194258485
adj_sellturnover_vwstock_ma_1,liquidity,1,0.03347322253529566
adj_sellturnover_vwstock_ma_5,liquidity,5,0.020081209032222682
adj_sellturnover_vwstock_ma_25,liquidity,25,0.016389995013592194
adj_sellturnover_vwstock_ma_125,liquidity,125,0.011449114696361375
adj_sellturnover_vwstock_ma_625,liquidity,625,0.008644884058972483
adj_sellturnover_vwstock_ma_3125,liquidity,3125,0.00820659651273492
adj_effspread_vwstock_ma_1,liquidity,1,0.018738328665019212
adj_effspread_vwstock_ma_5,liquidity,5,0.02469325982699329
adj_effspread_vwstock_ma_25,liquidity,25,0.03495716992668555
adj_effspread_vwstock_ma_125,liquidity,125,0.027124876649908855
adj_effspread_vwstock_ma_625,liquidity,625,0.011964353912632206
adj_effspread_vwstock_ma_3125,liquidity,3125,0.008767228692119398
adj_spread_vwstock_ma_1,liquidity,1,0.0025549441536080655
adj_spread_vwstock_ma_5,liquidity,5,0.010571224769867502
adj_spread_vwstock_ma_25,liquidity,25,0.01704164207469277
adj_spread_vwstock_ma_125,liquidity,125,0.007779161299642986
adj_spread_vwstock_ma_625,liquidity,625,0.0031658260724844595
adj_spread_vwstock_ma_3125,liquidity,3125,-0.0024237000768629856
adj_stocktwits_attention_ma_1,sentiment,1,0.021730064321513698
adj_stocktwits_attention_ma_5,sentiment,5,0.016041928439769242
adj_stocktwits_attention_ma_25,sentiment,25,0.00034151414731434595
adj_stocktwits_attention_ma_125,sentiment,125,-0.003991128544670222
adj_stocktwits_attention_ma_625,sentiment,625,-0.0030159289805439006
adj_stocktwits_attention_ma_3125,sentiment,3125,-0.00867038564875041
adj_stocktwits_sentiment_ma_1,sentiment,1,-0.00852003114761704
adj_stocktwits_sentiment_ma_5,sentiment,5,-0.0076653984443333925
adj_stocktwits_sentiment_ma_25,sentiment,25,-0.004101536040149575
adj_stocktwits_sentiment_ma_125,sentiment,125,0.00035379037713500144
adj_stocktwits_sentiment_ma_625,sentiment,625,0.00042340192520178764
adj_stocktwits_sentiment_ma_3125,sentiment,3125,-0.00021164675382929777
adj_stocktwits_sentcount_ma_1,sentiment,1,0.015313111359831547
adj_stocktwits_sentcount_ma_5,sentiment,5,0.011671929910637388
adj_stocktwits_sentcount_ma_25,sentiment,25,-0.0030488442295957645
adj_stocktwits_sentcount_ma_125,sentiment,125,-0.00933491770710576
adj_stocktwits_sentcount_ma_625,sentiment,625,-0.005416431524303002
adj_stocktwits_sentcount_ma_3125,sentiment,3125,-0.0037402268606192583
adj_vix_ma_1,implied_vol,1,0.02100495432205088
adj_vix_ma_5,implied_vol,5,0.018325120508453314
adj_vix_ma_25,implied_vol,25,0.013245410292394946
adj_vix_ma_125,implied_vol,125,0.004082057326235883
adj_vix_ma_625,implied_vol,625,-0.007827533132619822
adj_vix_ma_3125,implied_vol,3125,-0.006677948891774271
adj_vvix_ma_1,implied_vol,1,0.0393229806604268
adj_vvix_ma_5,implied_vol,5,0.03589930400465603
adj_vvix_ma_25,implied_vol,25,0.03002033417379973
adj_vvix_ma_125,implied_vol,125,0.018369113867845042
adj_vvix_ma_625,implied_vol,625,-0.000566036764527233
adj_vvix_ma_3125,implied_vol,3125,-0.002136511352576451
adj_vix3m_ma_1,implied_vol,1,0.05502149568557772
adj_vix3m_ma_5,implied_vol,5,0.05052274661472348
adj_vix3m_ma_25,implied_vol,25,0.04224987263860712
adj_vix3m_ma_125,implied_vol,125,0.028970121610242684
adj_vix3m_ma_625,implied_vol,625,0.007620278909122488
adj_vix3m_ma_3125,implied_vol,3125,-0.0022170426298901663
adj_voldemand_spx_open_and_close_ma_1,vol_demand,1,-0.003839044978666013
adj_voldemand_spx_open_and_close_ma_5,vol_demand,5,-0.004298049216079418
adj_voldemand_spx_open_and_close_ma_25,vol_demand,25,-0.0037512972652149227
adj_voldemand_spx_open_and_close_ma_125,vol_demand,125,-0.003067248900340199
adj_voldemand_spx_open_and_close_ma_625,vol_demand,625,-0.004324958501453368
adj_voldemand_spx_open_and_close_ma_3125,vol_demand,3125,-0.004683572188279542
adj_voldemand_spx_open_only_ma_1,vol_demand,1,-0.004440539792211359
adj_voldemand_spx_open_only_ma_5,vol_demand,5,-0.00495641204359804
adj_voldemand_spx_open_only_ma_25,vol_demand,25,-0.0043642983133573765
adj_voldemand_spx_open_only_ma_125,vol_demand,125,-0.0038124160796249615
adj_voldemand_spx_open_only_ma_625,vol_demand,625,-0.005440594863707691
adj_voldemand_spx_open_only_ma_3125,vol_demand,3125,-0.0055493882324977595
adj_voldemand_all_open_and_close_ma_1,vol_demand,1,-0.0030177960563216788
adj_voldemand_all_open_and_close_ma_5,vol_demand,5,-0.0026626855421268344
adj_voldemand_all_open_and_close_ma_25,vol_demand,25,-0.001359835747582214
adj_voldemand_all_open_and_close_ma_125,vol_demand,125,-0.002155512027333271
adj_voldemand_all_open_and_close_ma_625,vol_demand,625,-0.004053804955842144
adj_voldemand_all_open_and_close_ma_3125,vol_demand,3125,-0.004259535008665765
adj_voldemand_all_open_only_ma_1,vol_demand,1,-0.004242299012215192
adj_voldemand_all_open_only_ma_5,vol_demand,5,-0.004800588980010409
adj_voldemand_all_open_only_ma_25,vol_demand,25,-0.004234829892465823
adj_voldemand_all_open_only_ma_125,vol_demand,125,-0.003805394179829974
adj_voldemand_all_open_only_ma_625,vol_demand,625,-0.0055798439080457915
adj_voldemand_all_open_only_ma_3125,vol_demand,3125,-0.005603954089310548
