block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
51,72480,-0.027046,0.021385,-0.000000,0.000000,0.000000,0.074662,0.000000,0.034913,0.000000,0.000000,-0.000000,0.013357,-0.002807,-0.053247
52,72960,-0.028754,0.023352,-0.000000,0.000000,-0.000000,0.082660,0.000000,0.030067,0.000000,0.000000,-0.000000,0.014057,-0.003087,-0.054183
53,73440,-0.029680,0.022398,-0.000000,0.000000,-0.000000,0.083375,0.000000,0.029961,0.000000,0.000000,-0.000000,0.014059,-0.003086,-0.054705
54,73920,-0.027461,0.022391,-0.000000,0.000000,-0.000000,0.088657,0.000000,0.028146,0.000000,0.000000,-0.000000,0.015048,-0.003251,-0.056558
55,74400,-0.026570,0.023586,-0.000000,0.000000,-0.000000,0.090732,0.000000,0.026208,0.000000,0.000000,-0.000000,0.014500,-0.003328,-0.057304
56,74880,-0.024903,0.022893,-0.000000,0.000000,-0.000000,0.090088,0.000000,0.026747,0.000000,0.000000,-0.000000,0.014844,-0.003325,-0.056947
57,75360,-0.024103,0.024459,-0.000000,0.000000,-0.000000,0.088782,0.000000,0.027520,0.000000,0.000000,-0.000000,0.015554,-0.003375,-0.057118
58,75840,-0.024026,0.025280,-0.000000,0.000000,-0.000000,0.088746,0.000000,0.029899,0.000000,0.000000,-0.000000,0.013059,-0.003367,-0.057110
59,76320,-0.024664,0.023735,-0.000000,0.000000,-0.000000,0.089030,0.000000,0.031719,0.000000,0.000000,-0.000000,0.010788,-0.003323,-0.057245
60,76800,-0.025087,0.020894,-0.000000,0.000000,-0.000000,0.088612,0.000000,0.037263,0.000000,0.000000,-0.000000,0.006589,-0.003301,-0.055287
61,77280,-0.025701,0.019912,-0.000000,0.000000,-0.000000,0.087839,0.000000,0.040501,0.000000,0.000000,-0.000000,0.004052,-0.003333,-0.054487
62,77760,-0.025532,0.020749,-0.000000,0.000000,-0.000000,0.090280,0.000000,0.040400,0.000000,0.000000,-0.000000,0.002919,-0.003340,-0.053912
63,78240,-0.026924,0.020311,-0.000000,0.000000,-0.000000,0.092329,-0.000000,0.046751,0.000000,0.000000,-0.000000,0.006404,-0.003753,-0.052010
64,78720,-0.028191,0.021049,-0.000000,0.000000,-0.000000,0.092681,-0.000000,0.047605,0.000000,0.000000,-0.000000,0.005214,-0.003741,-0.052206
65,79200,-0.028474,0.021687,-0.000000,0.000000,-0.000000,0.091243,-0.000000,0.048363,0.000000,0.000000,-0.000000,0.007012,-0.003786,-0.052743
66,79680,-0.027671,0.021665,-0.000000,0.000000,-0.000000,0.092863,-0.000000,0.047422,-0.000000,0.000000,-0.000000,0.006134,-0.003769,-0.052592
67,80160,-0.028311,0.022210,-0.000000,0.000000,-0.000000,0.092209,-0.000000,0.049383,-0.000000,0.000000,-0.000000,0.003023,-0.003745,-0.052297
68,80640,-0.028084,0.021662,-0.000000,0.000000,-0.000000,0.093064,-0.000000,0.055253,-0.000000,0.000000,-0.000000,0.001658,-0.003896,-0.052365
69,81120,-0.029322,0.013189,-0.000000,0.000000,-0.000000,0.102904,0.000000,0.062025,0.000000,0.000000,-0.000000,0.016922,-0.004925,-0.051483
70,81600,-0.028821,0.012660,-0.000000,0.000000,-0.000000,0.103584,0.000000,0.071133,0.000000,0.000000,-0.000000,0.013661,-0.005151,-0.050678
